Date,Price,Open,High,Low,Vol.,Change %
7/26/24,462.97,462.65,465.93,459.77,39.99M,1.03%
7/29/24,463.9,465.71,467.91,461.61,28.22M,0.20%
7/30/24,457.53,465.85,466.56,454.15,41.32M,-1.37%
7/31/24,471.07,467.87,472.79,466.41,44.55M,2.96%
8/1/24,459.66,471.76,475.55,455.98,56.65M,-2.42%
8/2/24,448.75,450.89,453.57,444.47,66.32M,-2.37%
8/5/24,435.37,424.71,442.29,423.45,87.48M,-2.98%
8/6/24,439.53,437.23,447.07,434.56,63.16M,0.96%
8/7/24,434.77,446.49,449,434.37,54.93M,-1.08%
8/8/24,448.07,441.06,448.99,437.15,47.89M,3.06%
8/9/24,450.41,446.74,452.06,445.61,33.57M,0.52%
8/12/24,451.38,451.39,454.37,448.55,27.80M,0.22%
8/13/24,462.58,455.82,462.85,455.68,40.08M,2.48%
8/14/24,462.73,463.51,465.11,458.4,34.73M,0.03%
8/15/24,474.42,468.76,474.82,468.38,38.28M,2.53%
8/16/24,475.03,472.62,476.41,471.65,38.38M,0.13%
8/19/24,481.27,475.17,481.31,473.37,23.74M,1.31%
8/20/24,480.26,480.35,482.94,478.55,29.21M,-0.21%
8/21/24,482.5,481.05,484.37,479.32,25.66M,0.47%
8/22/24,474.85,484.84,485.54,473.81,37.74M,-1.59%
8/23/24,480,479.24,482.74,475.28,36.06M,1.08%
8/26/24,475.34,479.45,480.38,473.24,27.45M,-0.97%
8/27/24,476.76,473.69,477.84,471.71,27.51M,0.30%
8/28/24,471.35,476.29,477.02,467.89,37.37M,-1.13%
8/29/24,470.66,473.28,477.93,469.37,41.08M,-0.15%
8/30/24,476.27,475.04,476.9,470.51,33.47M,1.19%
9/3/24,461.81,473.2,473.33,459.41,44.99M,-3.04%
9/4/24,460.61,458.67,464.45,457.73,32.51M,-0.26%
9/5/24,461.04,458.97,465.36,457.94,34.45M,0.09%
9/6/24,448.69,460.33,461.22,448.19,50.62M,-2.68%
9/9/24,454.46,453.06,455.46,449.82,32.98M,1.29%
9/10/24,458.66,456.24,459.17,452.23,29.68M,0.92%
9/11/24,468.62,459.91,469.37,451.28,57.84M,2.17%
9/12/24,473.22,468.65,474.04,466.85,40.18M,0.98%
9/13/24,475.34,472.48,476.53,472.25,29.11M,0.45%
9/16/24,473.24,473.19,473.86,469.89,22.59M,-0.44%
9/17/24,473.49,476.29,477.6,470.97,30.08M,0.05%
9/18/24,471.44,474.7,478.83,470.83,39.91M,-0.43%
9/19/24,483.36,482.61,486.23,480.49,52.78M,2.53%
9/20/24,482.44,482.49,483.69,478.3,34.58M,-0.19%
9/23/24,483.04,482.95,484.14,481.6,24.84M,0.12%
9/24/24,485.37,484.46,486.33,480.17,25.95M,0.48%
9/25/24,485.82,484.74,487.79,484.56,26.55M,0.09%
9/26/24,489.47,493.37,493.7,485.8,32.02M,0.75%
9/27/24,486.75,490.5,490.64,485.56,22.85M,-0.56%
9/30/24,488.07,485.78,488.41,482.92,30.33M,0.27%
10/1/24,481.27,487.7,488,477.4,42.74M,-1.39%
10/2/24,481.95,480.36,483.88,477.72,23.74M,0.14%
10/3/24,481.59,479.74,484.55,478.99,25.34M,-0.07%
10/4/24,487.32,487.45,487.88,482.39,30.74M,1.19%
10/7/24,482.1,485.39,486.57,480.87,24.98M,-1.07%
10/8/24,489.3,484.66,489.99,483.85,28.27M,1.49%
10/9/24,493.15,489,493.73,487.95,24.99M,0.79%
10/10/24,492.59,490.85,494.47,489.53,25.75M,-0.11%
10/11/24,493.36,490.74,494.39,490.17,20.64M,0.16%
10/14/24,497.5,495.77,498.83,495.26,26.06M,0.84%
10/15/24,490.85,497.83,498.5,488.68,34.78M,-1.34%
10/16/24,490.91,491.18,491.69,487.57,23.00M,0.01%
10/17/24,491.25,496.44,496.49,491.19,27.21M,0.07%
10/18/24,494.47,494.06,495.57,493.3,25.34M,0.66%
10/21/24,495.42,493.25,496.23,491.31,30.34M,0.19%
10/22/24,495.96,492.73,497.45,491.97,26.69M,0.11%
10/23/24,488.36,493.59,494.25,485.05,39.35M,-1.53%
10/24/24,492.32,492.11,493,489.44,22.02M,0.81%
10/25/24,495.32,495.14,500.28,494.43,38.76M,0.61%
10/28/24,496.68,498.38,498.5,496.19,7.53M,0.27%
